,cas_number,moldb_smiles,klass
2-(4-Methyl-3-pentenyl)anthraquinone,71308-16-2,CC(C)=CCCC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O,Anthracenes
Brassica napus non-fluorescent chlorophyll catabolite 3,173740-48-2,CC1=C(C=C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(N1)C1C(C(O)=O)C(=O)C2=C1NC(CC1=C(CCO)C(C)=C(N1)C=O)=C2C,Tetrapyrroles and derivatives
Corepoxylone,154272-51-2,CCCCCCCCCCCCC1OC1CCC1OC1CCCCC(=O)CCCCCCCC1=CC(C)OC1=O,Fatty Acyls
Epoxymurin A,151484-64-9,CCCCCCCCCCCC\C=C/CCC1OC1CCCCCCCCCCCCC1=CC(C)OC1=O,Fatty Acyls
Diepomuricanin A,142733-57-1,CCCCCCCCCCCCC1OC1CCC1OC1CCCCCCCCCCCCC1=CC(C)OC1=O,Fatty Acyls
Epoxymurin B,151592-70-0,CCCCCCCCCCCCC1OC1CC\C=C/CCCCCCCCCCCCC1=CC(C)OC1=O,Fatty Acyls
Epomuricenin B,152340-40-4,CCCCCCCCCCCCCC\C=C\CCC1OC1CCCCCCCCCCC1=CC(C)OC1=O,Fatty Acyls
Solamin,158705-59-0,CCCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCCCCCCCCCCC1=CC(C)OC1=O,Fatty Acyls
2-Carboxyarabinitol 5-phosphate,112160-91-5,OCC(O)(C(O)C(O)COP(O)(O)=O)C(O)=O,Hydroxy acids and derivatives
2-(2-Furanyl)-3-methyl-2-butenal,31681-28-4,CC(C)=C(C=O)C1=CC=CO1,Heteroaromatic compounds
2-Butyl-5-[2-(4-hydroxy-3-methoxyphenyl)ethyl]furan,143114-90-3,CCCCC1=CC=C(CCC2=CC(OC)=C(O)C=C2)O1,Fatty Acyls
2-Hexyl-5-[2-(4-hydroxy-3-methoxyphenyl)ethyl]furan,143114-91-4,CCCCCCC1=CC=C(CCC2=CC(OC)=C(O)C=C2)O1,Fatty Acyls
2-[2-(4-Hydroxy-3-methoxyphenyl)ethyl]-5-octylfuran,143114-92-5,CCCCCCCCC1=CC=C(CCC2=CC(OC)=C(O)C=C2)O1,Fatty Acyls
Batatasin II,39354-56-8,COC1=C(OC)C(O)=C(O)C(CCC2=CC=CC=C2)=C1,Stilbenes
"1,5-bis(4-hydroxy-3-methoxyphenyl)-1,4-pentadien-3-one",131359-25-6,COC1=C(O)C=CC(\C=C/C(=O)/C=C\C2=CC(OC)=C(O)C=C2)=C1,Cinnamic acids and derivatives
"1-(4-Hydroxy-3-methoxyphenyl)-5-(4-hydroxyphenyl)-1,4-pentadien-3-one",148625-88-1,COC1=C(O)C=CC(\C=C/C(=O)/C=C\C2=CC=C(O)C=C2)=C1,Cinnamic acids and derivatives
"4-Chloro-3,5-dimethoxybenzaldehyde",56518-48-0,COC1=CC(C=O)=CC(OC)=C1Cl,Benzene and substituted derivatives
"4-Chloro-3,5-dimethoxybenzyl alcohol",152570-76-8,COC1=CC(CO)=CC(OC)=C1Cl,Benzene and substituted derivatives
Uralene,150853-99-9,COC1=C(OC2=C(C(O)=C(O)C=C2)C1=O)C1=CC(O)=C(O)C=C1CC=C(C)C,Flavonoids
Methyl 2-(2-methoxy-4-hydroxyphenyl)-6-methoxy-3-benzofurancarboxylate,151228-01-2,COC(=O)C1=C(OC2=C1C=CC(OC)=C2)C1=C(OC)C=C(O)C=C1,2-arylbenzofuran flavonoids
"beta,2-Dihydroxy-4,6-dimethoxy-3-methylchalcone",109845-46-7,COC1=CC(OC)=C(\C(O)=C\C(=O)C2=CC=CC=C2)C(O)=C1C,"Linear 1,3-diarylpropanoids"
Lactitol,585-86-4,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,Fatty Acyls
Coixinden A,149665-18-9,COC1=CC(=O)C2=C1C=C(OC)C=C2,Indenes and isoindenes
Methyl phenyl disulfide,14173-25-2,CSSC1=CC=CC=C1,Benzene and substituted derivatives
Isodesacetyluvaricin,98767-45-4,[H][C@@](O)(CCCCC(=O)CCCCC[C@@]([H])(O)[C@@]1([H])CC[C@@]([H])(O1)[C@@]([H])(O)CCCCCCCCCCCC)CC1=C[C@]([H])(C)OC1=O,Fatty Acyls
Capsiamide,64317-66-4,CC(C)CCCCCCCCCCCC\N=C(\C)O,Carboximidic acids and derivatives
Arjunolic acid 3-glucoside,99543-11-0,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC34C)C2C1)C(O)=O,Prenol lipids
Mabiogenin 3-[rhamnosyl-(1->6)-[glucosyl-(1->2)]-glucoside],328-39-2,[H][C@@]12C(=O)O[C@H](CC=C(C)C)[C@]1(C)O[C@H](O)[C@]1(C)[C@]2([H])CCC2[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)C3CC[C@@]12C,Steroids and steroid derivatives
Mabiogenin 3-[rhamnosyl-(1->6)-glucoside],328-39-2,[H][C@@]12C(=O)O[C@H](CC=C(C)C)[C@]1(C)O[C@H](O)[C@]1(C)[C@]2([H])CCC2[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)C3CC[C@@]12C,
3-Epigibberellin A1,1166-98-9,CC12C3C(C(O)=O)C45CC(=C)C(O)(C4)CCC5C3(CCC1O)OC2=O,Prenol lipids
Helianthoside A,139164-70-8,CC1OC(OC2C(C)OC(OC3C(O)C(COC4OCC(O)C(O)C4O)OC(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CCC7(C(O)CC65C)C(O)=O)C4(C)C)C3O)C(O)C2O)C(O)C(O)C1O,Prenol lipids
Jujubasaponin VI,146445-94-5,CC1OC(OC2C(O)C(O)C(CO)OC2OC2CCC3(C)C(CCC4(C)C3CCC3C5C6(C)OC(CC6OC55CC43CO5)C(C)(C)O)C2(C)C)C(O)C(O)C1O,Prenol lipids
gamma-Eudesmol,1209-71-8,CC1=C2CC(CCC2(C)CCC1)C(C)(C)O,
Melongoside M,95522-99-9,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(OC3OC(C)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C2OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Melongoside K,94696-62-5,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(OC3OC(C)C(O)C(O)C3O)C2OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Melongoside F,94805-85-3,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Capsicoside C3,125456-10-2,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OCC(O)C(O)C4O)C3O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Medicoside F,141492-08-2,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
Medicoside E,169397-84-6,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
"5a,6a-Epoxy-7E-megastigmene-3b,9e-diol 9-glucoside",172823-80-2,CC(OC1OC(CO)C(O)C(O)C1O)\C=C\C12OC1(C)CC(O)CC2(C)C,Fatty Acyls
9alpha-(3-Methyl-2E-pentenoyloxy)-4S-hydroxy-10(14)-oplopen-3-one 4-acetate,104012-37-5,CC\C(C)=C\C(=O)OC1CC(C(C)C)C2C(CC(=O)C2C(C)OC(C)=O)C1=C,Prenol lipids
9alpha-(3-Methyl-2E-pentenoyloxy)-4S-hydroxy-10(14)-oplopen-3-one,147742-07-2,CC\C(C)=C\C(=O)OC1CC(C(C)C)C2C(CC(=O)C2C(C)O)C1=C,Prenol lipids
9alpha-(Angeloyloxy)-4S-hydroxy-10(14)-oplopen-3-one 4-acetate,147742-08-3,C\C=C(\C)C(=O)OC1CC(C(C)C)C2C(CC(=O)C2C(C)OC(C)=O)C1=C,Prenol lipids
9alpha-(3-Methyl-2E-butenoyloxy)-4S-hydroxy-10(14)-oplopen-3-one 4-acetate,147742-09-4,CC(C)C1CC(OC(=O)C=C(C)C)C(=C)C2CC(=O)C(C(C)OC(C)=O)C12,Prenol lipids
Talinumoside I,145826-48-8,COC(=O)C1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
Capsicoside E1,109575-83-9,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,Steroids and steroid derivatives
Capsicoside A1,108068-99-1,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,
Capsicoside B1,108027-19-6,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,
Capsicoside C2,125456-09-9,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OCC(O)C(O)C4O)C3O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Capsicoside A2,35959-24-1,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,
Capsicoside B2,110124-76-0,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Melongoside A,14835-43-9,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Melongoside E,266998-04-3,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Melongoside G,94805-86-4,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(OC3OC(C)C(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Melongoside L,95522-98-8,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(OC3OC(C)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C2OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Matesaponin 2,164178-27-2,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1C)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
Matesaponin 3,164178-28-3,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC34C)C2C1C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Prenol lipids
Matesaponin 4,164178-29-4,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Prenol lipids
"1,3-Octadiene",1002-33-1,CCCC\C=C\C=C,Olefins
4-Epifagomine,156639-77-9,OCC1NCCC(O)C1O,Piperidines
Fumonisin B3,136379-59-4,CCCCC(C)C(OC(=O)CC(CC(O)=O)C(O)=O)C(CC(C)CC(O)CCCCCCC(O)C(C)N)OC(=O)CC(CC(O)=O)C(O)=O,Carboxylic acids and derivatives
Fumonisin B4,136379-60-7,CCCCC(C)C(OC(=O)CC(CC(O)=O)C(O)=O)C(CC(C)CCCCCCCCC(O)C(C)N)OC(=O)CC(CC(O)=O)C(O)=O,Carboxylic acids and derivatives
Kaempferol 3-(2''-rhamnosylgalactoside) 7-rhamnoside,124027-49-2,CC1OC(OC2C(O)C(O)C(CO)OC2OC2=C(OC3=CC(OC4OC(C)C(O)C(O)C4O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,Flavonoids
"(6S,6'S)-epsilon,epsilon-Carotene-3,3'-dione",97169-05-6,C\C(\C=C\C=C(/C)\C=C/C1C(C)=CC(=O)CC1(C)C)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C1C(C)=CC(=O)CC1(C)C,Prenol lipids
"Kaempferol 3-(3'',6''-di-p-coumaroylgalactoside)",68127-12-8,OC1C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C1OC(=O)\C=C\C1=CC=C(O)C=C1,Flavonoids
1-Methoxy-1H-indole-3-acetonitrile,30536-48-2,CON1C=C(CC#N)C2=CC=CC=C12,Indoles and derivatives
Laurolitsine,5890-18-6,COC1=C(O)C=C2CC3NCCC4=CC(O)=C(OC)C(C2=C1)=C34,Aporphines
Masticadienolic acid,472-30-0,CC(CC\C=C(/C)C(O)=O)C1CCC2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3CCC12C,Prenol lipids
Brassitin,113866-42-5,CSC(=O)NCC1=CNC2=C1C=CC=C2,Indoles and derivatives
14alpha-Hydroxypaxilline,157530-30-8,CC(C)(O)C1OC2(O)CCC3(C)C4(C)C(CC5=C4NC4=C5C=CC=C4)CCC3(O)C2=CC1=O,Naphthopyrans
14alpha-Hydroxy-4beta-deoxypaxilline,157530-29-5,CC(C)(O)C1OC2(O)CCC3(C)C(CCC4CC5=C(NC6=CC=CC=C56)C34C)C2=CC1=O,Naphthopyrans
Valdiate,162232-32-8,CC(C)CC(=O)OC1OC=C(COC(C)=O)C2CCC(C)C12,Prenol lipids
7-Hydroxy-2-calamenenone,155662-80-9,CC(C)C1CC(=O)C(C)C2=CC(O)=C(C)C=C12,
"1,20-Eicosanediol",7735-43-5,OCCCCCCCCCCCCCCCCCCCCO,Fatty Acyls
"1,17-Heptadecanediol",66577-59-1,OCCCCCCCCCCCCCCCCCO,Fatty Acyls
Lactosucrose,87419-56-5,OCC1OC(CO)(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,Carbohydrates and carbohydrate conjugates
Sophorotriose,32581-40-1,OCC1OC(O)C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Carbohydrates and carbohydrate conjugates
Polixetonium chloride,31512-74-0,[Cl-].[Cl-].C[N+](C)(CCP)CC[N+](C)(C)CCOP,Quaternary ammonium salts
(E)-3-(4-Hydroxyphenyl)-2-propenal,20711-53-9,OC1=CC=C(\C=C\C=O)C=C1,Cinnamaldehydes
Falimint,553-20-8,CCCOC1=C(NC(C)=O)C=C(C=C1)N(=O)=O,Benzene and substituted derivatives
"3b-Hydroxy-6b-angeloyloxy-7(11)-eremophilen-12,8b-olide",199675-13-3,C\C=C(\C)C(=O)OC1C2=C(C)C(=O)OC2CC2CCC(O)C(C)C12C,Prenol lipids
"3b-Hydroxy-6b-tigloyloxy-7(11)-eremophilen-12,8b-olide",149475-46-7,C\C=C(/C)C(=O)OC1C2=C(C)C(=O)OC2CC2CCC(O)C(C)C12C,Prenol lipids
"3b,6b-Diangeloyloxy-7(11)-eremophilen-12,8b-olide",149475-47-8,C\C=C(\C)C(=O)OC1CCC2CC3OC(=O)C(C)=C3C(OC(=O)C(\C)=C/C)C2(C)C1C,Prenol lipids
Ternatin heptapeptide,148619-41-4,[H][C@@]1(NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@]([H])(NC1=O)[C@@H](C)CC)[C@H](O)C(C)C,Carboxylic acids and derivatives
Mahanimbinol,77156-13-9,CC(C)=CCC\C(C)=C/CC1=C2NC3=CC=CC=C3C2=CC(C)=C1O,Indoles and derivatives
"(ent-2b,4S,9a)-2,4,9-Trihydroxy-10(14)-oplopen-3-one 2-(2-methylbutanoate) 9-(3-methyl-2E-pentenoate)",80489-86-7,CCC(C)C(=O)OC1C2C(C(C(C)O)C1=O)C(CC(OC(=O)\C=C(/C)CC)C2=C)C(C)C,Prenol lipids
"2-(2-Methylbutanoyl)-9-(3-methyl-2E-pentenoyl)-2b,9a-dihydroxy-4Z,10(14)-oplopadien-3-one",80514-14-3,CCC(C)C(=O)OC1C2C(C(CC(OC(=O)\C=C(/C)CC)C2=C)C(C)C)\C(=C\C)C1=O,Prenol lipids
Secoisobryononic acid,162898-23-9,CC(=C)C1CC=C2C(CCC3(C)C4CC(C)(CCC4(C)CCC23C)C(O)=O)C1(C)CCC(O)=O,Steroids and steroid derivatives
Secobryononic acid,162898-22-8,CC(=C)C1CCC2=C(CCC3(C)C4CC(C)(CCC4(C)CCC23C)C(O)=O)C1(C)CCC(O)=O,Steroids and steroid derivatives
"15,5-Farnesanolide",160775-28-0,CCC1CC(CC(C)CCCC(C)C)OC1=O,Lactones
"7(14)-Farnesene-9,12-diol",160775-29-1,CCC(C)CCCC(=C)CC(O)CC(C)CO,Prenol lipids
Secasterone,164321-81-7,CC(C)C(C)C(O)C(O)C(C)C1CCC2C3CC(=O)C4CC5OC5CC4(C)C3CCC12C,Steroids and steroid derivatives
Karahana lactone,28449-87-8,CC1(C)C2CCC(=C)C1C(=O)O2,Lactones
Volemolide,125974-96-1,COC12CCC3(C)C(CCC3C1=CC(=O)O2)C(C)\C=C\C(C)C(C)C,Prenol lipids
"(1E,4Z,6a,8b,10a)-8-(2-Methylbutanoyloxy)-10,15-dihydroxy-3-oxo-1,4,11(13)-germacratrien-12,6-olide",166528-79-6,CCC(C)C(=O)OC1CC(C)(O)\C=C/C(=O)/C(CO)=C\C2OC(=O)C(=C)C12,Prenol lipids
Vulgarolide,120674-40-0,CC12CCC(O)OC1C1OC(=O)C(=C)C1CCC(=O)C2,Oxanes
"(+)-1,18-Nonacosanediol",151454-22-7,CCCCCCCCCCCC(O)CCCCCCCCCCCCCCCCCO,Fatty Acyls
1'S-Acetoxychavicol acetate,52946-22-2,CC(=O)OC(C=C)C1=CC=C(OC(C)=O)C=C1,
1'-Acetoxychavicol,151986-17-3,CC(=O)O[C@@H](C=C)C1=CC=C(OC(C)=O)C=C1,Benzene and substituted derivatives
1'-Hydroxychavicol acetate,101135-02-8,CC(=O)OC1=CC=C(C=C1)C(O)C=C,Benzene and substituted derivatives
"1-Methyl-6-phenyl-1H-imidazo[4,5-b]pyridin-2-amine",105650-23-5,CN1C(N)=NC2=NC=C(C=C12)C1=CC=CC=C1,Pyridines and derivatives
7-Methyl-2-benzofurancarboxaldehyde,57897-70-8,CC1=C2OC(C=O)=CC2=CC=C1,Benzofurans
2-Pentanethiol,2084-19-7,CCCC(C)S,
beta-Cyclocitral,432-25-7,CC1=C(C=O)C(C)(C)CCC1,
6-Decenoic acid,85392-04-7,CCC\C=C\CCCCC(O)=O,Fatty Acyls
Isocyclocitral,1335-66-6,CC1CC(C)=CC(C)C1C=O,
4-Decenal,30390-50-2,CCCCC\C=C/CCC=O,
(E)-4-Decenal,30390-50-2,CCCCC\C=C/CCC=O,Carbonyl compounds
4-Mercapto-2-butanone,34619-12-0,CC(=O)CCS,Carbonyl compounds
Eriobofuran,97218-06-9,COC1=C(O)C(OC)=C2OC3=CC=CC=C3C2=C1,Benzofurans
Momordin Ia,95851-46-0,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(O)=O)C2(C)C)C(O)C(OC2OCC(O)C(O)C2O)C1O,Prenol lipids
Calenduloside G methyl ester,155740-15-1,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(O)=O)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,Prenol lipids
Momordin IIa,95851-50-6,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(=O)OC3OC(CO)C(O)C(O)C3O)C2(C)C)C(O)C(OC2OCC(O)C(O)C2O)C1O,Prenol lipids
Momordin Ie,96158-13-3,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,
Calenduloside H methyl ester,155740-14-0,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(=O)OC3OC(CO)C(O)C(O)C3O)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,Prenol lipids
Hemsloside Ma 2,96158-12-2,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,
Hydroxytyrosol 1-O-glucoside,76873-99-9,OCC1OC(OCCC2=CC(O)=C(O)C=C2)C(O)C(O)C1O,Carbohydrates and carbohydrate conjugates
Isoacteoside,61303-13-7,CC1OC(OC2C(O)C(COC(=O)\C=C\C3=CC(O)=C(O)C=C3)OC(OCCC3=CC(O)=C(O)C=C3)C2O)C(O)C(O)C1O,Cinnamic acids and derivatives
Erinapyrone C,157207-53-9,CC(O)C12OC1OC(CO)=CC2=O,Pyrans
Hovenidulcigenin A,171499-81-3,CC(C(CC1OC(=O)C(C)=C1)OC(C)=O)C1CCC2C3(C)CCC(O)C(C)(C)C3CCC2(C)C11COC(=O)C1,Prenol lipids
Hovenidulcioside A1,171499-79-9,CC(C(CC1OC(=O)C(C)=C1)OC(C)=O)C1CCC2C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)C(C)(C)C3CCC2(C)C11COC(=O)C1,Prenol lipids
Hovenidulcioside A2,171499-80-2,CC(C(CC1OC(=O)C(C)=C1)OC(C)=O)C1CCC2C3(C)CCC(OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC2(C)C11COC(=O)C1,Prenol lipids
Jujubasaponin V,146445-93-4,CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CCC4C6C(C)(O)C(CC=C(C)C)OC66CC54CO6)C3(C)C)OC(CO)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Prenol lipids
"3,5,6-Trihydroxy-5-(hydroxymethyl)-2-methoxy-2-cyclohexen-1-one",76663-30-4,COC1=C(O)CC(O)(CO)C(O)C1=O,Alcohols and polyols
"25-Methyl-21-tritriacontene-1,9,11-triol",151454-19-2,CCCCCCCCC(C)CC\C=C\CCCCCCCCCC(O)CC(O)CCCCCCCCO,Fatty Acyls
"1,7-Pentatriacontadien-11-ol",151454-18-1,CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC\C=C\CCCCC=C,Fatty Acyls
"(4Z,7Z)-4,7-Decadien-1-ol",104188-11-6,CC\C=C\C\C=C/CCCO,Fatty Acyls
Muricatetrocin A,153125-14-5,CCCCCCCCCCCCC(O)C(O)CCC(O)C1CCC(CCCCCCCC(O)CC2=CC(C)OC2=O)O1,
Muricatetrocin B,182074-34-6,CCCCCCCCCCCCC(O)C(O)CCC(O)C1CCC(CCCCCCCC(O)CC2=CC(C)OC2=O)O1,Fatty Acyls
Sugeonol,19419-58-0,CC1CCC2C(O)C3=C(C)C(=O)CC13C2(C)C,Prenol lipids
8-Deoxy-11-hydroxy-13-chlorogrosheimin,83551-02-4,CC1C2C(CC1=O)C(=C)CCC1C2OC(=O)C1(O)CCl,Prenol lipids
Collybial,164300-75-8,CC1(C)CC2C1CC=C(C=O)C1C(=O)CC21C,Carbonyl compounds
21beta-Hydroxyhederagenin,96304-77-7,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(CO)C5CCC4(C)C3(C)CCC2(CC1O)C(O)=O,Prenol lipids
Lucyoside N,152845-77-7,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC2(CC1O)C(O)=O,Prenol lipids
21b-Hydroxygypsogenin,152845-76-6,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC4(C)C3(C)CCC2(CC1O)C(O)=O,Prenol lipids
Lablabsaponin I,161842-85-9,CC1OC(OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CC(OC6CC(=O)C(O)=C(C)O6)C5(CCC43C)C=O)C2(C)CO)C(O)=O)C(O)C(O)C1O,Prenol lipids
"(2a,3a)-Dihydroxy-12-ursen-24-oic acid",164920-64-3,CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C5CCC34C)C(O)=O)C2C1C,Prenol lipids
"5,7-Megastigmadien-9-ol glucoside",146610-77-7,CC(OC1OC(CO)C(O)C(O)C1O)\C=C\C1=C(C)CCCC1(C)C,Fatty Acyls
Valechlorin,51771-49-4,CC(C)CC(=O)OC1C=C2C(C(OC(=O)CC(C)C)OC=C2COC(C)=O)C1(O)CCl,Fatty Acyls
Marshmine,160927-88-8,COC1=C(CC(O)C(C)=C)C2=C(C(O)=C1)C(=O)C1=C(N2C)C(O)=CC=C1,Quinolines and derivatives
Physagulin A,146713-98-6,CC(C1CC(C)=C(C)C(=O)O1)C1=CC(OC(C)=O)C2(O)C3CC4OC44CC=CC(=O)C4(C)C3CCC12C,Steroids and steroid derivatives
Physagulin B,146713-97-5,CC(C1CC(C)=C(C)C(=O)O1)C1=CC(OC(C)=O)C2(O)C3CC(O)C4(Cl)CC=CC(=O)C4(C)C3CCC12C,Steroids and steroid derivatives
Physagulin D,146713-92-0,CC(C1CCC2C3CC=C4CC(CC(O)C4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O)C1CC(C)=C(CO)C(=O)O1,Steroids and steroid derivatives
